"difference","startDate","startSentiment","endSentiment","endDate","ticker","startCount","endCount","countRatio","countSlope","changeInSentimentSlope","normalizedCountSlope","normalizedSentimentSlope","normalizedDifference","normalizedCountRatio","priceOnStartDate","priceOnEndDate","priceOnEndDate3","priceOnEndDate7","priceOnEndDate15","priceOnEndDate30","decision"
"-35","2016-01-13","38","3","2016-01-15","tvix","50","6","0.12","22","-17.5","0.5563636363636364","0.4408783783783784","0.38175675675675674","0.00040776724836853224","9.54","10.58","10.58","9.16","8.24","10.62","do nothing"
"-35","2016-01-05","69","34","2016-01-06","aapl","124","40","0.3225806451612903","84","-35","0.6690909090909091","0.38175675675675674","0.38175675675675674","0.001118585976987741","102.709999","100.699997","98.529999","97.389999","96.300003","94.019997","short"
"-35","2016-01-05","43","8","2016-01-06","gbsn","40","11","0.275","29","-35","0.5690909090909091","0.38175675675675674","0.38175675675675674","0.000951634125918739","0.741","0.658","0.44","0.266","0.207","0.21","short"
"-33","2016-01-08","34","1","2016-01-11","nete","17","2","0.11764705882352941","5","-11","0.5254545454545455","0.46283783783783783","0.3885135135135135","0.0003995112046865557","0.2","0.2","0.17","0.21","0.21","0.2","do nothing"
"-32","2016-01-20","35","3","2016-01-21","nflx","38","5","0.13157894736842105","33","-32","0.5763636363636364","0.3918918918918919","0.3918918918918919","0.0004483956738561538","107.739998","102.349998","99.120003","94.410004","82.790001","91.93","do nothing"
"-31","2016-01-20","31","0","2016-01-21","twtr","53","2","0.03773584905660377","51","-31","0.6090909090909091","0.3952702702702703","0.3952702702702703","0.00011911726831754004","17.379999","17.83","17.02","16.49","15.72","18.299999","do nothing"
"-30","2016-01-05","31","1","2016-01-06","free","9","1","0.1111111111111111","8","-30","0.5309090909090909","0.39864864864864863","0.39864864864864863","0.0003765777500143985","0.01","0.01","0.01","0.01","0.19","0.08","do nothing"
"-29","2016-01-13","33","4","2016-01-14","fb","25","1","0.04","24","-29","0.56","0.40202702702702703","0.40202702702702703","0.00012706176318132882","95.440002","98.370003","95.260002","94.160004","112.209999","101.610001","short"
"-29","2016-01-13","29","0","2016-01-15","sphs","13","1","0.07692307692307693","6","-14.5","0.5272727272727272","0.4510135135135135","0.40202702702702703","0.00025661814096003815","1.55","1.67","1.72","2.34","1.93","1.7","short"
"-29","2016-01-11","31","2","2016-01-12","free","19","2","0.10526315789473684","17","-29","0.5472727272727272","0.40202702702702703","0.40202702702702703","0.0003560583432024685","0.01","0.01","0.44","0.26","0.15","0.07","short"
"-28","2016-01-13","28","0","2016-01-15","f","18","1","0.05555555555555555","8.5","-14","0.5318181818181819","0.4527027027027027","0.40540540540540543","0.00018164338530106283","12.2","11.97","11.95","12.14","12.07","11.87","short"
"-28","2016-01-01","24","-4","2016-01-05","idra","9","10","1.1111111111111112","-0.25","-7","0.5159090909090909","0.47635135135135137","0.40540540540540543","0.0038853963148544413","3","2.88","2.52","2.1","1.92","1.9","short"
"-28","2016-01-08","27","-1","2016-01-09","fit","15","1","0.06666666666666667","14","-28","0.5418181818181819","0.40540540540540543","0.40540540540540543","0.00022063025824372998","21.52","18.85","19.629999","17.66","17.290001","14.38","short"
"-25","2016-01-08","28","3","2016-01-11","rlyp","39","36","0.9230769230769231","1","-8.333333333333334","0.5181818181818182","0.4718468468468468","0.4155405405405405","0.0032256184650554594","21.26","19.6","20.120001","18.65","20.42","15.79","do nothing"
"-25","2016-01-01","45","20","2016-01-05","sgyp","11","10","0.9090909090909091","0.25","-6.25","0.5168181818181818","0.47888513513513514","0.4155405405405405","0.0031765440795332206","5.37","5.18","4.14","4.14","3.76","3.82","do nothing"
"-24","2016-01-01","12","-12","2016-01-05","dis","17","39","2.2941176470588234","-5.5","-6","0.5063636363636363","0.4797297297297297","0.4189189189189189","0.008036351610514884","102.980003","100.900002","99.25","101.459999","92.540001","95.43","do nothing"
"-24","2016-01-01","24","0","2016-01-03","nete","9","2","0.2222222222222222","3.5","-12","0.5227272727272727","0.4594594594594595","0.4189189189189189","0.00076644647944107","0.22","0.22","0.19","0.2","0.21","0.22","do nothing"
"-24","2016-01-13","23","-1","2016-01-14","rlyp","32","1","0.03125","31","-24","0.5727272727272728","0.4189189189189189","0.4189189189189189","0.00009635960073897845","19.15","20.120001","18.65","19.27","18.84","18.32","do nothing"
"-24","2016-01-05","20","-4","2016-01-06","sgyp","10","2","0.2","8","-24","0.5309090909090909","0.4189189189189189","0.4189189189189189","0.0006884727335557358","5.18","5.05","3.88","4","4.01","3.58","do nothing"
"-23","2016-01-11","14","-9","2016-01-13","kndi","5","5","1","0","-11.5","0.5163636363636364","0.46114864864864863","0.4222972972972973","0.00349552758542777","8.72","8.57","8.09","7.77","7.44","6.35","do nothing"
"-23","2016-01-28","-1","-24","2016-01-30","juno","1","3","3","-1","-11.5","0.5145454545454545","0.46114864864864863","0.4222972972972973","0.010513164715107855","27.16","27.23","24.5","26.84","32.139999","35.169998","do nothing"
"-23","2016-01-01","29","6","2016-01-05","bioc","19","1","0.05263157894736842","4.5","-5.75","0.5245454545454545","0.48057432432432434","0.4222972972972973","0.0001713836818950978","1.4","1.38","1.45","1.61","1.37","1.44","do nothing"
"-23","2016-01-28","23","0","2016-01-29","gbsn","67","6","0.08955223880597014","61","-23","0.6272727272727273","0.4222972972972973","0.4222972972972973","0.0003009315786331041","0.227","0.235","0.234","0.21","0.263","0.205","do nothing"
"-22","2016-01-22","22","0","2016-01-25","tvix","19","1","0.05263157894736842","6","-7.333333333333333","0.5272727272727272","0.4752252252252252","0.42567567567567566","0.0001713836818950978","9.16","10.07","9.2","8.24","11.18","8.89","do nothing"
"-22","2016-01-01","26","4","2016-01-05","vuzi","19","4","0.21052631578947367","3.75","-5.5","0.5231818181818182","0.4814189189189189","0.42567567567567566","0.0007254076658172098","7.81","6.12","5.78","5.34","5.23","5.71","do nothing"
"-22","2016-01-13","31","9","2016-01-14","aapl","92","5","0.05434782608695652","87","-22","0.6745454545454546","0.42567567567567566","0.42567567567567566","0.00017740568172033814","97.389999","99.519997","96.660004","96.300003","97.339996","96.639999","do nothing"
"-22","2016-01-20","27","5","2016-01-21","gbsn","27","18","0.6666666666666666","9","-22","0.5327272727272727","0.42567567567567566","0.42567567567567566","0.0023259213971477555","0.118","0.207","0.23","0.227","0.21","0.215","do nothing"
"-21","2016-01-12","2","-19","2016-01-13","kmi","1","8","8","-7","-21","0.5036363636363637","0.42905405405405406","0.42905405405405406","0.028057257539308073","13.6","12.95","12.55","12.01","15.29","14.96","do nothing"
"-21","2016-01-01","21","0","2016-01-05","mnga","9","3","0.3333333333333333","1.5","-5.25","0.519090909090909","0.4822635135135135","0.42905405405405406","0.0011563152088677415","1.55","1.57","1.52","1.36","1.17","1.29","do nothing"
"-21","2016-01-01","22","1","2016-01-05","wgbs","8","1","0.125","1.75","-5.25","0.5195454545454545","0.4822635135135135","0.42905405405405406","0.0004253113411927325","0.72","0.72","0.66","0.62","0.56","0.64","do nothing"
"-21","2016-01-06","34","13","2016-01-07","aapl","40","49","1.225","-9","-21","0.5","0.42905405405405406","0.42905405405405406","0.00428501176251678","100.699997","96.449997","98.529999","99.519997","101.419998","95.010002","do nothing"
"-20","2016-01-13","20","0","2016-01-14","cmg","44","1","0.022727272727272728","43","-20","0.5945454545454546","0.43243243243243246","0.43243243243243246","0.00006645489706136445","428.279999","454.299988","469.470001","461.200012","452.970001","492.940002","do nothing"
"-20","2016-01-22","23","3","2016-01-30","axp","23","2","0.08695652173913043","2.625","-2.5","0.5211363636363636","0.49155405405405406","0.43243243243243246","0.00029182367839990475","55.060001","54.700001","53.66","52.400002","53.18","55.580002","do nothing"
"-20","2016-01-11","21","1","2016-01-12","mnkd","27","1","0.037037037037037035","26","-20","0.5636363636363636","0.43243243243243246","0.43243243243243246","0.00011666526372995093","0.67","0.77","0.93","0.78","1.05","0.92","do nothing"
"-20","2016-01-08","19","-1","2016-01-09","gbsn","31","1","0.03225806451612903","30","-20","0.5709090909090909","0.43243243243243246","0.43243243243243246","0.0000998967162277285","0.463","0.44","0.32","0.2","0.23","0.2","do nothing"
"-19","2016-01-11","19","0","2016-01-12","vrx","21","2","0.09523809523809523","19","-19","0.5509090909090909","0.4358108108108108","0.4358108108108108","0.00032088221723915975","85.449997","87.910004","88.699997","88.980003","94.43","83.440002","do nothing"
"-19","2016-01-01","20","1","2016-01-05","baba","12","5","0.4166666666666667","1.75","-4.75","0.5195454545454545","0.4839527027027027","0.4358108108108108","0.0014487167559377452","76.690002","78.629997","70.800003","72.68","68.709999","64.860001","do nothing"
"-19","2016-01-01","28","9","2016-01-05","wtw","22","9","0.4090909090909091","3.25","-4.75","0.5222727272727272","0.4839527027027027","0.4358108108108108","0.0014221347971131993","21.719999","21.049999","14.85","14.81","12.53","11.49","do nothing"
